name,x,y,width,height
p_850_280,847,277,7,7
p_850_290,847,287,7,7
p_850_300,847,297,7,7
p_850_310,847,307,7,7
p_850_320,847,317,7,7
p_850_330,847,327,7,7
p_850_340,847,337,7,7
p_850_350,847,347,7,7
p_850_360,847,357,7,7
p_850_370,847,367,7,7
p_850_380,847,377,7,7
p_850_390,847,387,7,7
p_850_400,847,397,7,7
p_850_410,847,407,7,7
p_850_420,847,417,7,7
p_850_430,847,427,7,7
p_850_440,847,437,7,7
p_850_450,847,447,7,7
p_850_460,847,457,7,7
p_850_470,847,467,7,7
p_850_480,847,477,7,7
p_850_490,847,487,7,7
p_850_500,847,497,7,7
p_850_510,847,507,7,7
p_850_520,847,517,7,7
p_850_530,847,527,7,7
p_850_540,847,537,7,7
p_850_550,847,547,7,7
p_850_560,847,557,7,7
p_850_570,847,567,7,7
p_850_580,847,577,7,7
p_850_590,847,587,7,7
p_850_600,847,597,7,7
p_850_610,847,607,7,7
p_850_620,847,617,7,7
p_850_630,847,627,7,7
p_850_640,847,637,7,7
p_850_650,847,647,7,7
p_850_660,847,657,7,7
p_850_670,847,667,7,7
p_850_680,847,677,7,7
p_850_690,847,687,7,7
p_850_700,847,697,7,7
p_850_710,847,707,7,7
p_850_720,847,717,7,7
p_850_730,847,727,7,7
p_850_740,847,737,7,7
p_850_750,847,747,7,7
p_860_250,857,247,7,7
p_860_260,857,257,7,7
p_860_270,857,267,7,7
p_860_280,857,277,7,7
p_860_290,857,287,7,7
p_860_300,857,297,7,7
p_860_310,857,307,7,7
p_860_320,857,317,7,7
p_860_330,857,327,7,7
p_860_340,857,337,7,7
p_860_350,857,347,7,7
p_860_360,857,357,7,7
p_860_370,857,367,7,7
p_860_380,857,377,7,7
p_860_390,857,387,7,7
p_860_400,857,397,7,7
p_860_410,857,407,7,7
p_860_420,857,417,7,7
p_860_430,857,427,7,7
p_860_440,857,437,7,7
p_860_450,857,447,7,7
p_860_460,857,457,7,7
p_860_470,857,467,7,7
p_860_480,857,477,7,7
p_860_490,857,487,7,7
p_860_500,857,497,7,7
p_860_510,857,507,7,7
p_860_520,857,517,7,7
p_860_530,857,527,7,7
p_860_540,857,537,7,7
p_860_550,857,547,7,7
p_860_560,857,557,7,7
p_860_570,857,567,7,7
p_860_580,857,577,7,7
p_860_590,857,587,7,7
p_860_600,857,597,7,7
p_860_610,857,607,7,7
p_860_620,857,617,7,7
p_860_630,857,627,7,7
p_860_640,857,637,7,7
p_860_650,857,647,7,7
p_860_660,857,657,7,7
p_860_670,857,667,7,7
p_860_680,857,677,7,7
p_860_690,857,687,7,7
p_860_700,857,697,7,7
p_860_710,857,707,7,7
p_860_720,857,717,7,7
p_860_730,857,727,7,7
p_860_740,857,737,7,7
p_860_750,857,747,7,7
p_870_250,867,247,7,7
p_870_260,867,257,7,7
p_870_270,867,267,7,7
p_870_280,867,277,7,7
p_870_290,867,287,7,7
p_870_300,867,297,7,7
p_870_310,867,307,7,7
p_870_320,867,317,7,7
p_870_330,867,327,7,7
p_870_340,867,337,7,7
p_870_350,867,347,7,7
