sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
56,882949.620925333,87397.779688635,87397.77968901,882949.626267166,0.005341457988834009,-795551.843907427
57,882949.629271375,87397.788333556,87397.788333931,882949.634821416,0.005549665977014229,-795551.843712652
58,882949.636446375,87397.795374117,87397.795374367,882949.641600333,0.005153707999852486,-795551.843649112
59,882949.64367525,87397.802354679,87397.802355054,882949.649465666,0.00579004104656633,-795551.8442155916
60,882949.651055166,87397.810364731,87397.810365106,882949.656347666,0.005292125031701289,-795551.8433364975
61,882949.657947041,87397.816343802,87397.816344052,882949.662005375,0.00405808404320851,-795551.8436322811
62,882949.663624708,87397.822338248,87397.822338748,882949.668497541,0.004872333040111698,-795551.8437226265
63,882949.670100458,87397.828358818,87397.828359068,882949.67391925,0.0038185420708032325,-795551.843650911
64,882949.675190666,87397.833365773,87397.833366273,882949.678987333,0.0037961669731885195,-795551.8437229765
65,882949.680575041,87397.839364968,87397.839365343,882949.684908166,0.004332749958848581,-795551.8433764479
66,882949.686175583,87397.844343798,87397.844344048,882949.689957666,0.0037818329292349517,-795551.8437227015
67,882949.691616625,87397.850349244,87397.850349619,882949.697731625,0.006114625124610029,-795551.8443246935
68,882949.6993825,87397.859233538,87397.859233913,882949.705178125,0.005795249919174239,-795551.843046587
69,882949.706762833,87397.864344992,87397.864345617,882949.709902833,0.0031393749377457425,-795551.8439875285
70,882949.711498333,87397.869314321,87397.869314696,882949.714957208,0.003458499995758757,-795551.843913262
71,882949.716585541,87397.877373373,87397.877373623,882949.722862583,0.006276791973505169,-795551.842350564
72,882949.724488458,87397.882349078,87397.882349578,882949.727950375,0.0034614169417181984,-795551.8438700885
73,882949.729536583,87397.888377148,87397.888377648,882949.7361515,0.006614417070522904,-795551.8444666435
74,882949.737891041,87397.896344326,87397.896344826,882949.742344083,0.004452542052604258,-795551.843772986
75,882949.744149208,87397.903344138,87397.903344513,882949.749350625,0.005201042018597946,-795551.843405591
76,882949.751000541,87397.910897569,87397.910897944,882949.763858083,0.012857167021138594,-795551.8465315555
77,882949.765769375,87397.925790684,87397.925791184,882949.772434541,0.006664666012511589,-795551.843311024
