sample,mac_send_s,device_receive_s,device_send_s,mac_receive_s,network_rtt_s,device_minus_mac_s
133,881912.630994958,86360.787925454,86360.787925704,881912.637257333,0.006262125039938837,-795551.8462005665
134,881912.638474875,86360.794242758,86360.794243008,881912.643257541,0.004782415984664112,-795551.846623325
135,881912.644640916,86360.800711935,86360.800712185,881912.649723083,0.0050819169846363366,-795551.8464699395
136,881912.651051041,86360.807243612,86360.807244111,881912.657007875,0.005956335066002794,-795551.8467855966
137,881912.658096541,86360.814265158,86360.814265533,881912.663406,0.005309084051987156,-795551.8464859249
138,881912.664721541,86360.820917708,86360.820917958,881912.670263333,0.005541542021092027,-795551.846574604
139,881912.671481708,86360.827597633,86360.827598008,881912.677249,0.005766916990978643,-795551.8467675335
140,881912.678590375,86360.834587429,86360.834587804,881912.684069666,0.005478915962157771,-795551.8467424039
141,881912.68541425,86360.841239979,86360.841240354,881912.691854333,0.006439708027755842,-795551.8473941251
142,881912.693235625,86360.847922404,86360.847922654,881912.69746325,0.00422737498593051,-795551.8474269086
143,881912.698786625,86360.85457683,86360.85457708,881912.703186916,0.004400040896143764,-795551.8464098156
144,881912.70469975,86360.860927133,86360.860927508,881912.710174958,0.005474833058542572,-795551.8465100335
145,881912.71160925,86360.867270562,86360.867270937,881912.716251375,0.0046417499834205955,-795551.846659563
146,881912.717320333,86360.871909385,86360.87190976,881912.721227625,0.003906917030690238,-795551.8473644066
147,881912.722653583,86360.878258813,86360.878259063,881912.727444958,0.004791125014889985,-795551.8467903326
148,881912.728929708,86360.886588845,86360.886589095,881912.737051,0.008121041988488287,-795551.8464013841
149,881912.738170291,86360.894248384,86360.894248634,881912.743544041,0.005373499996494502,-795551.8466086569
150,881912.745126625,86360.90123743,86360.90123768,881912.750892666,0.005765790992882103,-795551.8467720905
151,881912.7524985,86360.908256101,86360.908256351,881912.757830625,0.00533187499968335,-795551.8469083365
152,881912.759176416,86360.915582644,86360.915583019,881912.764835916,0.005659125017700717,-795551.8464233344
153,881912.766178791,86360.922299943,86360.922300318,881912.771918916,0.005739750093198381,-795551.846748723
154,881912.774811958,86360.93325657,86360.933256945,881912.871579625,0.09676729197963141,-795551.8899390339
155,881912.873024416,86361.054314335,86361.054314585,881912.905027333,0.03200266690691933,-795551.8347114145
156,881912.906431125,86361.063931477,86361.063931727,881912.913855791,0.00742441596230492,-795551.846211856
157,881912.915109291,86361.070488153,86361.070488528,881912.920895666,0.005786000023363158,-795551.847514138
158,881912.92249675,86361.078575437,86361.078575812,881912.928763,0.006265874922974035,-795551.8470542505
159,881912.93023025,86361.086234476,86361.086234851,881912.935686375,0.005455750011606142,-795551.846723649
160,881912.937030041,86361.093253897,86361.093254147,881912.942913458,0.005883166973944753,-795551.8467177275
161,881912.944253875,86361.100245819,86361.100246194,881912.949656083,0.005401833084761165,-795551.8467089725
162,881912.950973291,86361.107597111,86361.107597486,881912.957902541,0.006928875081939623,-795551.8468406175
163,881912.959250875,86361.115933642,86361.115934017,881912.967376458,0.008125207939883694,-795551.847379837
164,881912.968848208,86361.125911655,86361.12591203,881912.975861625,0.007013042093603872,-795551.846443074
165,881912.977210916,86361.134179437,86361.134179937,881912.983853791,0.006642375024966896,-795551.8463526666
166,881912.98519425,86361.141254733,86361.141254983,881912.990795625,0.005601125012617558,-795551.8467400796
167,881912.992161333,86361.148250404,86361.148250904,881912.998910083,0.006748249987140298,-795551.8472850539
168,881913.0002775,86361.156245939,86361.156246314,881913.005964833,0.005686957942089066,-795551.8468750401
169,881913.007367291,86361.16326186,86361.163262235,881913.014821875,0.0074542090005707,-795551.8478325355
170,881913.016265666,86361.172666255,86361.17266663,881913.0229625,0.006696459007798694,-795551.8469476404
171,881913.024482916,86361.180965161,86361.180965411,881913.030879708,0.0063965420122258365,-795551.8467160261
172,881913.032228958,86361.188929822,86361.188930072,881913.038973541,0.006744333019014448,-795551.8466713026
173,881913.040340333,86361.196955982,86361.196956232,881913.046598708,0.006258125009480864,-795551.8465134136
174,881913.049597416,86361.206592998,86361.206593373,881913.060959833,0.011362042016116902,-795551.848685439
175,881913.062346,86361.222557694,86361.222558069,881913.074728166,0.012381790991639718,-795551.8459792015
176,881913.076111166,86361.232939827,86361.232940202,881913.083526416,0.00741487494087778,-795551.8468787766
177,881913.08476925,86361.240931987,86361.240932362,881913.090971541,0.006201916010468267,-795551.846938221
178,881913.092376458,86361.248253405,86361.24825378,881913.099512916,0.007136082960641943,-795551.8476910945
179,881913.100842583,86361.257287304,86361.257287679,881913.106949333,0.006106375003582798,-795551.8466084665
180,881913.108335041,86361.263267986,86361.263268361,881913.112819416,0.004484000004595146,-795551.847309055
181,881913.114369708,86361.269920662,86361.269920912,881913.119731541,0.005361583025660366,-795551.8471298375
182,881913.121106208,86361.279258807,86361.279259182,881913.12865375,0.007547167100710794,-795551.8456209844
183,881913.130029625,86361.286646099,86361.286646349,881913.135773083,0.005743207933846861,-795551.8462551299
184,881913.137090791,86361.293268274,86361.293268649,881913.142901166,0.0058099999878322706,-795551.846727517
185,881913.144243833,86361.300258196,86361.300258446,881913.149352833,0.005108750017825514,-795551.846540012
186,881913.150672333,86361.306602999,86361.306603499,881913.156884916,0.006212083040736616,-795551.8471753756
187,881913.158220166,86361.315915395,86361.315915895,881913.166573041,0.008352375007234514,-795551.8464809584
188,881913.167921791,86361.324947668,86361.324948043,881913.174781791,0.00685962509305682,-795551.8464039355
189,881913.176406875,86361.332268211,86361.332268711,881913.181800375,0.00539299997035414,-795551.846835164
190,881913.1831675,86361.339655128,86361.339655378,881913.189919083,0.0067513330723159015,-795551.8468880386
191,881913.191289083,86361.346917171,86361.346917796,881913.196960166,0.005670457991072908,-795551.8472071409
192,881913.198344958,86361.353905343,86361.353905718,881913.204151375,0.005806041968753561,-795551.847342636
193,881913.20972325,86361.365627211,86361.365627586,881913.21583725,0.006113624986028299,-795551.8471528515
194,881913.217334458,86361.373928743,86361.373928993,881913.223979291,0.006644583030720241,-795551.8467280065
195,881913.225207291,86361.38124916,86361.38124941,881913.230752583,0.005545042047742754,-795551.846730652
196,881913.232087041,86361.388239207,86361.388239582,881913.237924875,0.005837458971654996,-795551.8467665636
197,881913.239274333,86361.395595624,86361.395596124,881913.244727125,0.005452292039990425,-795551.846404855
198,881913.246041583,86361.402916792,86361.402917292,881913.252402083,0.0063599999994039536,-795551.846304791
199,881913.253729416,86361.409905463,86361.409905838,881913.259631625,0.0059018339816248044,-795551.8467748701
200,881913.261021916,86361.415886771,86361.415887021,881913.265954333,0.004932166964863427,-795551.8476012285
201,881913.267298666,86361.423242064,86361.423242314,881913.273735125,0.006436209019739181,-795551.8472747065
202,881913.275464125,86361.434349314,86361.434349689,881913.283923958,0.008459457982098684,-795551.84534454
203,881913.28527225,86361.441581982,86361.441582482,881913.291847375,0.006574625032953918,-795551.8469775806
204,881913.293438375,86361.449917389,86361.449917764,881913.393152541,0.09971379103080835,-795551.8933778815
205,881913.394932958,86361.670099539,86361.670100039,881913.520713833,0.12578037509229034,-795551.7877236065
206,881913.5220365,86361.679838555,86361.67983893,881913.529586791,0.007549915913841687,-795551.845972903
207,881913.5309085,86361.687585468,86361.687585718,881913.537869833,0.006961082981433719,-795551.8468035734
208,881913.539178416,86361.697414732,86361.697414982,881913.546723375,0.007544708962086588,-795551.8455360385
209,881913.548071375,86361.704922648,86361.704922898,881913.554882125,0.006810499995481223,-795551.846553977
210,881913.556199791,86361.712917683,86361.712917933,881913.563098416,0.006898374951560982,-795551.8467312955
211,881913.564738208,86361.721247839,86361.721248214,881913.570603083,0.0058645000390242785,-795551.846422619
212,881913.571927625,86361.727595393,86361.727595643,881913.577591375,0.005663499992806464,-795551.847163982
213,881913.578910958,86361.735928799,86361.735929174,881913.585599458,0.00668812493677251,-795551.8463262215
214,881913.586925916,86361.74392396,86361.743924335,881913.593591791,0.006665499982773326,-795551.8463347061
215,881913.595030458,86361.751949994,86361.751950244,881913.601637708,0.006607000075746328,-795551.846383964
216,881913.603052541,86361.762630999,86361.762631374,881913.612853375,0.009800458996323869,-795551.8453217716
217,881913.615814208,86361.771966519,86361.771967019,881913.62173275,0.005918041919358075,-795551.8468067101
218,881913.623454041,86361.779936805,86361.77993718,881913.629797916,0.006343500077491626,-795551.846688986
219,881913.631147958,86361.787591594,86361.787591969,881913.637765583,0.006617250008275732,-795551.846864989
220,881913.638930583,86361.795922625,86361.795923,881913.645671416,0.006740457931300625,-795551.846378187
221,881913.648361083,86361.804929024,86361.804929524,881913.654687166,0.0063255829736590385,-795551.8465948505
222,881913.65604075,86361.812314691,86361.812315191,881913.661202833,0.0051615830743685365,-795551.8463068504
223,881913.662668458,86361.818262874,86361.818263249,881913.66761625,0.004947417037328705,-795551.8468792925
224,881913.669158708,86361.824276557,86361.824276932,881913.674746541,0.005587457999354228,-795551.84767588
225,881913.676054125,86361.831387852,86361.831388102,881913.680364291,0.004309915995690972,-795551.846821231
226,881913.681955416,86361.838621395,86361.83862177,881913.688843041,0.006887249968713149,-795551.846777646
227,881913.690608541,86361.846307684,86361.846308059,881913.697071791,0.006462875026045367,-795551.8475322946
228,881913.698406458,86361.85777768,86361.85777793,881913.707723791,0.009317082993220538,-795551.8452873195
229,881913.709049416,86361.86492685,86361.8649271,881913.714269375,0.0052197089535184205,-795551.8467324205
230,881913.715595416,86361.871606525,86361.871606775,881913.721165541,0.005569874949287623,-795551.8467738285
231,881913.722480166,86361.87826045,86361.878260825,881913.727223416,0.004742874967632815,-795551.8465911535
232,881913.728629208,86361.884948,86361.884948375,881913.734281958,0.005652374922647141,-795551.8465073955
233,881913.735645791,86361.891260304,86361.891260804,881913.740877291,0.005230999900959432,-795551.847000987
234,881913.742188,86361.897946229,86361.897946479,881913.748737791,0.006549540965352207,-795551.8475165415
235,881913.75006875,86361.905271521,86361.905271771,881913.75446675,0.004397749959025532,-795551.846996104
236,881913.755787041,86361.9115857,86361.91158595,881913.760295958,0.004508666985202581,-795551.8464556745
237,881913.761634625,86361.916926015,86361.916926265,881913.767357,0.005722125002648681,-795551.8475696726
238,881913.768695,86361.924287683,86361.924288058,881913.773313958,0.00461858298513107,-795551.8467166085
239,881913.774645208,86361.93026299,86361.93026349,881913.779843375,0.005197666949243285,-795551.8469810516
240,881913.781191166,86361.937958904,86361.937959279,881913.78946425,0.008272708946606144,-795551.8473686165
241,881913.790765333,86361.947935667,86361.947936042,881913.797947416,0.007181707987911068,-795551.84642052
