# Calibration grid spanning the projected tablet screen.
name,x,y,width,height
g_950_700,947,697,7,7
g_1000_700,997,697,7,7
g_1050_700,1047,697,7,7
g_1100_700,1097,697,7,7
g_1150_700,1147,697,7,7
g_1200_700,1197,697,7,7
g_1250_700,1247,697,7,7
g_1300_700,1297,697,7,7
g_1350_700,1347,697,7,7
g_1400_700,1397,697,7,7
g_1450_700,1447,697,7,7
g_1500_700,1497,697,7,7
g_1550_700,1547,697,7,7
g_1600_700,1597,697,7,7
g_1650_700,1647,697,7,7
g_1700_700,1697,697,7,7
g_1750_700,1747,697,7,7
g_1800_700,1797,697,7,7
g_1850_700,1847,697,7,7
g_400_750,397,747,7,7
g_450_750,447,747,7,7
g_500_750,497,747,7,7
g_550_750,547,747,7,7
g_600_750,597,747,7,7
g_650_750,647,747,7,7
g_700_750,697,747,7,7
g_750_750,747,747,7,7
g_800_750,797,747,7,7
g_850_750,847,747,7,7
g_900_750,897,747,7,7
g_950_750,947,747,7,7
g_1000_750,997,747,7,7
g_1050_750,1047,747,7,7
g_1100_750,1097,747,7,7
g_1150_750,1147,747,7,7
g_1200_750,1197,747,7,7
g_1250_750,1247,747,7,7
g_1300_750,1297,747,7,7
g_1350_750,1347,747,7,7
g_1400_750,1397,747,7,7
g_1450_750,1447,747,7,7
g_1500_750,1497,747,7,7
g_1550_750,1547,747,7,7
g_1600_750,1597,747,7,7
g_1650_750,1647,747,7,7
g_1700_750,1697,747,7,7
g_1750_750,1747,747,7,7
g_1800_750,1797,747,7,7
g_1850_750,1847,747,7,7
g_400_800,397,797,7,7
g_450_800,447,797,7,7
g_500_800,497,797,7,7
g_550_800,547,797,7,7
g_600_800,597,797,7,7
g_650_800,647,797,7,7
g_700_800,697,797,7,7
g_750_800,747,797,7,7
g_800_800,797,797,7,7
g_850_800,847,797,7,7
g_900_800,897,797,7,7
g_950_800,947,797,7,7
g_1000_800,997,797,7,7
g_1050_800,1047,797,7,7
g_1100_800,1097,797,7,7
g_1150_800,1147,797,7,7
g_1200_800,1197,797,7,7
g_1250_800,1247,797,7,7
g_1300_800,1297,797,7,7
g_1350_800,1347,797,7,7
g_1400_800,1397,797,7,7
g_1450_800,1447,797,7,7
g_1500_800,1497,797,7,7
g_1550_800,1547,797,7,7
g_1600_800,1597,797,7,7
g_1650_800,1647,797,7,7
g_1700_800,1697,797,7,7
g_1750_800,1747,797,7,7
g_1800_800,1797,797,7,7
g_1850_800,1847,797,7,7
g_400_850,397,847,7,7
g_450_850,447,847,7,7
g_500_850,497,847,7,7
g_550_850,547,847,7,7
g_600_850,597,847,7,7
g_650_850,647,847,7,7
g_700_850,697,847,7,7
g_750_850,747,847,7,7
g_800_850,797,847,7,7
g_850_850,847,847,7,7
g_900_850,897,847,7,7
g_950_850,947,847,7,7
g_1000_850,997,847,7,7
g_1050_850,1047,847,7,7
g_1100_850,1097,847,7,7
g_1150_850,1147,847,7,7
g_1200_850,1197,847,7,7
g_1250_850,1247,847,7,7
g_1300_850,1297,847,7,7
g_1350_850,1347,847,7,7
g_1400_850,1397,847,7,7
g_1450_850,1447,847,7,7
g_1500_850,1497,847,7,7
g_1550_850,1547,847,7,7
g_1600_850,1597,847,7,7
g_1650_850,1647,847,7,7
g_1700_850,1697,847,7,7
g_1750_850,1747,847,7,7
g_1800_850,1797,847,7,7
g_1850_850,1847,847,7,7
g_400_900,397,897,7,7
g_450_900,447,897,7,7
g_500_900,497,897,7,7
g_550_900,547,897,7,7
g_600_900,597,897,7,7
g_650_900,647,897,7,7
g_700_900,697,897,7,7
g_750_900,747,897,7,7
g_800_900,797,897,7,7
g_850_900,847,897,7,7
g_900_900,897,897,7,7
g_950_900,947,897,7,7
g_1000_900,997,897,7,7
g_1050_900,1047,897,7,7
g_1100_900,1097,897,7,7
g_1150_900,1147,897,7,7
g_1200_900,1197,897,7,7
g_1250_900,1247,897,7,7
g_1300_900,1297,897,7,7
g_1350_900,1347,897,7,7
g_1400_900,1397,897,7,7
g_1450_900,1447,897,7,7
g_1500_900,1497,897,7,7
g_1550_900,1547,897,7,7
g_1600_900,1597,897,7,7
g_1650_900,1647,897,7,7
g_1700_900,1697,897,7,7
g_1750_900,1747,897,7,7
g_1800_900,1797,897,7,7
g_1850_900,1847,897,7,7
g_400_950,397,947,7,7
g_450_950,447,947,7,7
g_500_950,497,947,7,7
g_550_950,547,947,7,7
g_600_950,597,947,7,7
g_650_950,647,947,7,7
g_700_950,697,947,7,7
g_750_950,747,947,7,7
g_800_950,797,947,7,7
g_850_950,847,947,7,7
g_900_950,897,947,7,7
g_950_950,947,947,7,7
g_1000_950,997,947,7,7
g_1050_950,1047,947,7,7
g_1100_950,1097,947,7,7
g_1150_950,1147,947,7,7
g_1200_950,1197,947,7,7
g_1250_950,1247,947,7,7
g_1300_950,1297,947,7,7
g_1350_950,1347,947,7,7
g_1400_950,1397,947,7,7
g_1450_950,1447,947,7,7
g_1500_950,1497,947,7,7
g_1550_950,1547,947,7,7
g_1600_950,1597,947,7,7
g_1650_950,1647,947,7,7
g_1700_950,1697,947,7,7
g_1750_950,1747,947,7,7
g_1800_950,1797,947,7,7
g_1850_950,1847,947,7,7
g_400_1000,397,997,7,7
g_450_1000,447,997,7,7
g_500_1000,497,997,7,7
g_550_1000,547,997,7,7
g_600_1000,597,997,7,7
g_650_1000,647,997,7,7
g_700_1000,697,997,7,7
g_750_1000,747,997,7,7
g_800_1000,797,997,7,7
g_850_1000,847,997,7,7
g_900_1000,897,997,7,7
g_950_1000,947,997,7,7
g_1000_1000,997,997,7,7
g_1050_1000,1047,997,7,7
g_1100_1000,1097,997,7,7
g_1150_1000,1147,997,7,7
g_1200_1000,1197,997,7,7
g_1250_1000,1247,997,7,7
g_1300_1000,1297,997,7,7
g_1350_1000,1347,997,7,7
g_1400_1000,1397,997,7,7
g_1450_1000,1447,997,7,7
g_1500_1000,1497,997,7,7
g_1550_1000,1547,997,7,7
g_1600_1000,1597,997,7,7
g_1650_1000,1647,997,7,7
g_1700_1000,1697,997,7,7
g_1750_1000,1747,997,7,7
g_1800_1000,1797,997,7,7
g_1850_1000,1847,997,7,7
